english_sentence,korean_sentence
"money","돈"
"Korean currency","원"
"dollar","달러"
"small money, change (money); balance","잔돈"
"change (coins)","거스름돈"
"(copper) coin","동전"
"(physical) cash","현금"
"pocket money, allowance, spending money","용돈"
"bet, betting, wager","내기"
"property, fortune, wealth, asset","재산"
"inheritance, legacy, heritage; abortion, miscarriage","유산"
"cultural assets, cultural properties","문화재"
"income, earnings, revenue; import","수입"
"export","수출"
"benefit, profit, gain, interest","이익"
"bribe; kickback","뇌물"
"deposit, savings","예금"
"bankbook","통장"
"price","얼마에"
"price; hitting, striking","가격"
"price, cost, value","값"
"prices (avg market price for goods and services), cost of living; edge of water","물가"
"value, worth","가치"
"appraisal, evaluation, assessment, estimation","평가"
"free (of charge)","공짜"
"free of charge, complimentary (more formal)","무료"
"charge, fee, fare","요금"
"tax","세금"
"transportation fare","차비"
"expense, cost (of something)","비용"
"expense, spend, outgoings, (act of) spending","지출"
"check, bill (like at a restaurant)","계산서"
"check (you're writing or receiving)","수표"
"receipt","영수증"
"sale(s), selling","판매"
"purchase","구매"
"sold out, sellout; striving","매진"
"refund, money back","환불"
"compensation; reward","보상"
"service","서비스"
"(volunteer) service, serve; blind person","봉사"
"business card","명함"
"credit card","신용카드"
"ID card","신분증"
"monthly salary","월급"
"wages, pay (of any kind/formal); king, monarch","임금"
"princess; Gong Ju","공주"
"insurance","보험"
"health insurance card","건강보험증"
"company, corporation (that someone would work at)","회사"
"large company, major company","대기업"
"company employee (office)","회사원"
"employee, staff member","직원"
"cashier","계산원"
"crewman, stewardess","승무원"
"worker, laborer","노동자"
"workers","근로자"
"labor; manual labor","노동"
"the number of people, personnel, headcount","인원"
"office","사무실"
"department, section, division; lesson, chapter","과"
"workplace, job, office, company","직장"
"construction; public corporation; official and personal affairs","공사"
"enterprise, business (act of managing a companies activities); work, service, project, activity","사업"
"organization, association, society; group of people, party","단체"
"enterprise, business, corporation, company (that seek to make profit)","기업"
"business (selling something for profit), trade, commerce, deal; funeral; person of great physical strength","장사"
"company, business (less common)","업체"
"job, career","직업"
"job (2), work that you do","하는 일"
"work, job","일"
"being out of work (nuance of staying at home and being lazy), unemployed; empty hands; all kinds of animals","백수"
"business, job, duty, work, task (that you do as part of a job)","업무"
"work (towards a certain process/for something), operation (formal)","작업"
"work (for/at) as an employee, be at work (formal)","근무"
"work (that enables you to earn money), things to do, task","일거리"
"part-time job","아르바이트"
"main occupation, day job, primary job","본업"
"resume, CV","이력서"
"(job) interview","면접"
"head of the office; dptmt. head; section chief","실장"
"head of department, chief","과장님"
"head of department","부장"
"supervision; supervisor, director, manager","감독"
"(more common) president of a company, CEO, boss; die out","사장"
"person in charge, manager (who takes responsibility when something happens)","책임자"
"one's boss, superior (workplace); trading firm; seargeant","상사"
"businessman, entrepreneur","사업가"
"director, president (of an institution ending in 원)","원장"
"chancellor (of a university), secretary general","총장"
"promotion (at a job), advancement","승진"
"applicant, volunteer; supporter","지원자"
"owner, employer, landlord","주인"
"house owner, landlord, landlady","집주인"
"conglomerate, extremely wealthy group","재벌"
"real estate, property, real estate agent","부동산"
"secretary, personal assistant","비서"
"monthly leave","월차"
"leave work, get off work","퇴근"
"closing time","퇴근시간"
"overwork, working too much, excessive labor","과로"
"meeting room, conference room","회의실"
"(business) meeting, conference; doubt (about), skepticism","회의"
"meeting, gathering, get-together; group, association","모임"
"meeting (2 or more parties coming together)","만남"
"dining together (among colleagues), group dinner","회식"
"group (people who do something together)","그룹"
"group, body (interchangeable with 그룹)(group or organization that consists of two or more people)","집단"
"group (with structure and a goal), organization, ring; tissue (group of cells); texture (of cloth)","조직"
"joint, group, collaboration; work together, cooperate","공동"
"club, society, group","동아리"
"club, society, frat/sorority; club (nightclub); club (golf club)","클럽"
"unit, party that acts together, troops, military camp; bag, sack","부대"
"event, function, special occasion; use, exert, invoke, exercise (something)","행사"
"business trip; take part in","출장"
"vacation (in general), break, leave","휴가"
"vacation/holiday season","휴가철"
"honeymoon","신혼여행"
"economy","경제"
"financial, economic","경제적"
"stocks, shares; staple food in a diet","주식"
"trade, commerce","무역"
"market (both senses); mayor","시장"
"industry","산업"
"(manufacturing) industry","공업"
"advertisement (closer to widely reporting something), commercial; publicity","광고"
"the act of going to a market to buy or sell items","장보기"
"sale (discount)","세일"
"discount","할인"
"shopping","쇼핑"
"shop, store","가게"
"shopping center","쇼핑센터"
"department store","백화점"
"convenience store","편의점"
"product, manufactured goods","제품"
"new product","신제품"
"item name, list of goods","품목"
"prize; product, goods, good product","상품"
"colleague, co-worker, peer","동료"
"salesperson, clerk, shop assistant","점원"
"guest, visitor; customer; passenger","손님"
"customer, client","고객"
"consumer","소비자"
"finance, banking","금융"
"bank","은행"
"teller, bank clerk","은행원"
"post office","우체국"
"(postage) stamp","우표"
"dentist, dental surgery, dentistry, dentist's office","치과"
"bookstore","서점"
"(less common) bookstore","책방"
"beauty parlor, hairdresser's","미용실"
"appointment; promise","약속"
"reservation, booking, appointment","예약"
"contract (with/between), agreement","계약"
"pharmacy","약국"
"pharmacist","약사"
"restaurant, cafeteria, diner, dining room","식당"
"snack stand, booth, cafeteria","매점"
"Korean restaurant","한식집"
"Chinese restaurant","중국집"
"Japanese restaurant","일식집"
"restaurant (formal)","음식점"
"cafe; coffee shop","카페"
"coffee shop","커피숍"
"tea room, coffee house","다방"
"teahouse","찻집"
"bar, pub","술집"
"menu","메뉴"
"waiter, waitress, employee, staff, worker","종업원"
"meal; address (speech)","식사"
"hospital, clinic","병원"
"doctor, physician; intention, idea","의사"
"nurse","간호사"
"medical examination, checkup (used by the doctor)","진찰"
"diagnosis, examination","진단"
"drug, medicine; approximately","약"
"pill, tablet","알약"
"medicine, medical science","의학"
"treatment, cure, remedy, therapy","치료"
"bandage, dressing","붕대"
"injection , shot; drunken frenzy","주사"
"operation, surgery; correction","수술"
"hospital room, patient's room","병실"
"waiting room","대기실"
"lounge, resting room, waiting room","휴게실"
"member, membership","회원"
"membership fee, subscription, dues","회비"
"subscription, subscribe (to)","구독"
"supermarket","슈퍼마겟"
"shopping basket","장바구니"
"gas station","주유소"
"bakery","빵집"
"bakery (older sounding)","제과점"
"boarding house","하숙집"
"police station","경찰서"
"jail, lockup, holding cell (less common)","유치장"
"jail, prison (general place where bad people are locked up)","감옥"
"barber shop","이발소"
"museum","박물관"
"hotel","호텔"
"inn, motel","여관"
"building, structure","건물"
"building (english loan word)","빌딩"
"warehouse, storage","창고"
"tower, pagoda","탑"
"wedding ceremony","결혼식"
"travel agency","여행사"
"church","교회"
"bathhouse","목욕탕"
"Korean dry sauna, spa","찜질방"
"ski resort","스키장"
"zoo","동물원"
"battlefield","전쟁터"
"war, battle; hell","전쟁"
"funeral","장례식"
"theater, movie theater","극장"
"small theater","소극장"
"play, theatrical performance; make-believe","연극"
"stage, arena, set","무대"
"movie theater (only movies)","영화관"
"preview, trailer","예고편"
"ticket booth","매표소"
"platform","플랫폼"
"factory, plant, mill","공장"
"establishment, facilities","시설"
"national establishment","국립"
"agriculture, the farming industry","농업"
"farmer","농민"
"palace","궁전"
"Mars","화성"
"Mercury","수성"
"Jupiter","목성"
"Venus","금성"
"Saturn","토성"
"scene, scenery, view (from where you are)","경치"
"background, setting","배경"
"tourism, sightseeing","관광"
"tourist","관광객"
"tourist attraction (spot)","관광지"
"environment (nature); environment, situation, condition, circumstances","환경"
"iron, steel; season; discretion, (good) sense","철"
"weather","날씨"
"weather forecast","일기예보"
"climate","기후"
"temperature (atmosphere)","기온"
"(general) temperature","온도"
"cold air, cold weather","추위"
"lightning","번개"
"rainy season, monsoon season, rainy spell","장마"
"rain","비"
"storm, windstorm","폭풍"
"rainstorm, storm (with heavy rain)","폭풍우"
"typhoon","태풍"
"wind; dream, desire","바람"
"fog, mist","안개"
"cloud","구름"
"the sky, the heavens","하늘"
"hell, nightmare","지옥"
"Buddhism","불교"
"universe, space","우주"
"stars (space); star (5 points); particular, specific","별"
"park","공원"
"sidewalk; human obligations; transfer, handing over; guidance; India","인도"
"playground","놀이터"
"swings","그네"
"alley","골목"
"pedestrian overpass","육교"
"crosswalk","횡단보도"
"forest, woods","숲"
"tree, wood","나무"
"pine tree","소나무"
"maple tree","단풍나무"
"river","강"
"lake; number (of house/room)","호수"
"spring (water), fountain; jealousy","샘"
"fountain; fraction; one's place (state of one's life)","분수"
"countryside, rural area; one's home (town)","시골"
"sea, ocean","바다"
"beach, seaside","바닷가"
"coast, seaside, seashore","해안"
"swimming beach","해수욕장"
"seawater, salt water","바닷물"
"wave; surge (of), impulse","파도"
"wave (smaller like a ripple), tide, flow","물결"
"sand","모래"
"island","섬"
"mountain","산"
"volcano","화산"
"farming, farm work, agriculture","농사"
"farm village, farming area, rural area","농촌"
"field, farm","밭"
"yard, garden","마당"
"garden; capacity, limit, maximum number of people","정원"
"tinged autumn leaves, autumn colors","단풍"
"plant, vegetation","식물"
"flower, bloom, blossom","꽃"
"rose","장미"
"flower vase, vase","꽃병"
"flower pot, plant pot","화분"
"flower shop","꽃집"
"home","집"
"house, home, family (hon.)","댁"
"house, housing","주택"
"one's own house (home)","자택"
"resident, inhabitant","주민"
"home, family, household; supposition, assumption, presumption, hypothesis, speculation, suppose, presume","가정"
"home, family, household","집안"
"full house (no space for more people); 10,000 won","만원"
"housework, housekeeping; family event, household affair, family affair","집안일"
"housekeeper","가정부"
"Korean-style house","한옥"
"moving (houses)","이사"
"place of living","사는 곳"
"dormitory","기숙사"
"apartment","아파트"
"lodging, accomodations (to stay temporarily)","숙소"
"address, residence","주소"
"wall; characteristic","벽"
"picture frame","액자"
"hallway","복도"
"roof","지붕"
"rooftop (flat/that you can stand on)","옥상"
"door","문"
"back door; improper means (to solve a problem)","뒷문"
"front door, entrance","현관"
"the front gate, main entrance (big)","정문"
"gate, front gate","대문"
"school gate","교문"
"handle, knob","손잡이"
"doorbell","초인종"
"entry, access (to), going in and out; coming and going","출입"
"access, connection","접속"
"window","창문"
"glass window","유리창"
"curtain","커튼"
"stairs, step","계단"
"underground, basement; the afterlife","지하"
"downstairs, lower floor","아래층"
"upstairs, upper floor","위층"
"floor, the bottom, ground; area, place; field, business","바닥"
"(wood/nicely furnished) floor","마룻바닥"
"ceiling","천장"
"room, shot, round, punch","방"
"room with the Korean floor heating system","온돌방"
"bedroom, room for sleeping","침실"
"master bedroom, main room","안방"
"bed","침대"
"pillow","베개"
"sleeping together, sharing a bed","동침"
"comforter, bedding, blanket","이불"
"in one's sleep","자면서"
"when asleep","자면"
"going to bed, retiring","취침"
"nap","낮잠"
"sleep, doze, nap","잠"
"sleep in the open","노숙"
"sleeping late (in the morning), oversleeping","늦잠"
"dream (while sleeping)","꿈"
"bad dream, nightmare","악몽"
"inside a dream","꿈속"
"illusion, fantasy","환상"
"bathroom","욕실"
"toilet, bathroom, restroom","화장실"
"toilet paper, tissue; waste paper, scrap paper; pause","휴지"
"toothpaste","치약"
"toothbrush","칫솔"
"soap","비누"
"liquid soap","물비누"
"shampoo","샴푸"
"bath","목욕"
"bathtub","욕조"
"sink","싱크대"
"towel","수건"
"kitchen","부엌"
"kitchen (sino)","주방"
"cook, chef","요리사"
"cooking, dish","요리"
"(cooking) oil; fat; grease, oil; gas, gasoline","기름"
"refrigerator","냉장고"
"electric home appliance","가전제품"
"electric rice cooker","전기밥솥"
"water purifier","정수기"
"plate, dish","접시"
"side dish","반찬"
"(packed) lunch, box lunch","도시락"
"pot, saucepan","냄비"
"iron pot, cauldron","솥"
"bowl, container; capable, qualified","그릇"
"ceramic ware, pottery","도자기"
"cup","컵"
"cup","잔"
"teacup","찻잔"
"spoon","숟가락"
"furniture; household","가구"
"table","테이블"
"chair","의자"
"wardrobe, closet","옷장"
"drawer","서랍"
"shelf, rack","선반"
"coat hanger, hanger","옷걸이"
"dining table","식탁"
"(small) table","탁자"
"sofa, couch","소파"
"clothes iron","다리미"
"cleaning","청소"
"vacuum cleaner","청소기"
"washing machine","세탁기"
"washing (clothes), laundry","세탁"
"laundry, dry cleaner's","세탁소"
"dishwashing","설거지"
"garbage, trash, waste","쓰레기"
"garbage can, waste basket; litter box","쓰레기통"
"trash can, wastebasket, recycling bin","휴지통"
"living room","거실"
"TV","텔레비전"
"remote control","리모콘"
"movie","영화"
"program, show (tv); program (computer)","프로그램"
"broadcasting station/network","방송국"
"seat; audience, crowd","좌석"
"handicapped seating","노약자석"
"empty seat, vacant spot","빈자리"
"audience, spectator","관객"
"viewer, TV audience","시청자"
"(viewer) ratings","시청률"
"channel","채널"
"handclapping, applause","박수"
"genre","장르"
"romance, love story","로맨스"
"drama (show)","드라마"
"historical drama, historical film","사극"
"performance, acting","연기"
"main character","주인공"
"main role, lead, star","주연"
"actor, actress","배우"
"actor, actress (as a profession)","연기자"
"news","뉴스"
"news, news (from people you know); light eating","소식"
"newspaper","신문"
"news article; driver, chauffeur; engineer","기사"
"announcement, statement, presentation, publish, release","발표"
"announcer","아나운서"
"advance notice, warning, previous notice","예고"
"interview","인터뷰"
"reporter, journalist, editor","기자"
"report, coverage (media); sidewalk, pavement","보도"
"magazine, journal","잡지"
"internet","인터넷"
"online","온라인"
"computer","컴퓨터"
"notebook, laptop","노트북"
"screen, monitor (computer), picture","화면"
"email","이메일"
"website, home page","홈페이지"
"user","이용자"
"telephone","전화기"
"cell phone","핸드폰"
"cell phone (formal)","휴대전화"
"act of calling/using a telephone","전화"
"public phone, pay phone","공중전화"
"phone number","전화번호"
"contact information","연락처"
"reception (dealing with signals); recipient, act of receiving","수신"
"camera","카메라"
"shooting, filming","촬영"
"video","비디오"
"video recording","녹화"
"picture, photo","사진"
"picture, painting, drawing","그림"
"image; impression","이미지"
"picture, image, video; temperature above freezing","영상"
"scene, scene in a movie","장면"
"author","작가"
"poet; admission, acknowledgement","시인"
"artist","예술가"
"painter, artist","화가"
"scientist","과학자"
"engineer","엔지니어"
"historian","역사가"
"patient (medical), sick person","환자"
"military personnel, soldier","군인"
"army, military, troops","군대"
"general, admiral","장군"
"police officer","경찰관"
"police, police officer","경찰"
"fireman","소방관"
"detective, investigator; (criminal) investigation, case","형사"
"lawyer, attorney","변호사"
"prosecutor, district attorney; examination, inspection, check","검사"
"the prosecution","검찰"
"genius, prodigy; natural disaster","천재"
"expert, specialist, professional","전문가"
"professional, pro","프로"
"genuine person; rich stock, rich broth","진국"
"rich person, person with a lot of something; father and son","부자"
"foreigner, alien","외국인"
"enemy, opponent, rival","적"
"deal with, face each other; someone, partner; opponent, rival, antagonist; comparison","상대"
"outcast, loner, bullied","왕따"
"model (both meanings)","모델"
"thief; theft, stealing","도둑"
"criminal, culprit, suspect; ordinary person","범인"
"robber, robbery; strength, intensity; solidity","강도"
"king","왕"
"one's master, king, lord","주군"
"angel","천사"
"wings","날개"
"tail; last of a group, end","꼬리"
"bride; Catholic priest","신부"
"pastor, minister","목사님"
"superman","수퍼맨"
"robot","로봇"
"fan (a person), enthusiast, admirer; fan (machine)","팬"
"beggar, bum; being worthless (might be used in a lot of idioms too... not sure)","거지"
"machine, machinery, robot; being machine-like","기계"
"engine; institute, school; organ","기관"
"equipment, gear","장비"
"tent","텐트"
"parcel, package","소포"
"packing, wrapping, packaging material; covering; paving","포장"
"box, case, bin","상자"
"scale (weighing), balance","저울"
"wagon, cart, wheelbarrow","수레"
"leaf; blade, needle","잎"
"knife; sword","칼"
"gun; (determiner) total (number of something), overall, gross","총"
"scissors","가위"
"hammer","망치"
"tape","테이프"
"comb","빗"
"chopsticks; mouthful","젓가락"
"spoon and chopsticks (traditional Korean utensils)","수저"
"rope, string; line, queue, row","줄"
"trunk, stem, cane; stream (of), branch (of), section; streak, beam, column","줄기"
"thread, yarn; loss; (bound noun) room","실"
"back row","뒷줄"
"cigarette","담배"
"poisoning; addiction","중독"
"doll, puppet, figure","인형"
"clock, watch; visibility","시계"
"key","열쇠"
"air conditioner","에어컨"
"humidifier","가습기"
"glass; being profitable, beneficial","유리"
"rubber; be encouragement, inspiration, stimulation","고무"
"umbrella","우산"
"fan, folding fan; debt, liabilities","부채"
"lottery (ticket); reinstatement, restoration","복권"
"comic book","만화"
"radio","라디오"
"stone, anniversary","돌"
"load, burden, baggage, cargo","짐"
"burden, load, obligation","부담"
"present","선물"
"souvenir","기념품"
"toy","장난감"
"free gift, freebie","사은품"
"delivery (small scale deliveries, food etc)","배달"
"card; solution, key","카드"
"bulletin board, notice board, message board (online)","게시판"
"sign, store signboard; front, figurehead; background, qualification","간판"
"signal, code, sign","신호"
"knock (on), knocking","노크"
"sound, noise","소리"
"fire; light","불"
"sun; hope","태양"
"light, ray, glow; color, tinge, complextion","빛"
"sunlight, sunshine, sunbeam, heat of the sun (less common)","햇살"
"sunlight, sunshine, sun; see the light","햇빛"
"darkness, the dark","어둠"
"water","물"
"inside water, underwater","물속"
"cold water","찬물"
"river water","강물"
"rain water","빗물"
"the ground; land, territory; bang","땅"
"earth, soil, dirt; ground","흙"
"powder, flour, dust","가루"
"rock","바위"
"metal","금속"
"gold; line, crack (in)","금"
"gold (en); money, wealth","황금"
"pearl","진주"
"hole, pit, opening; loophole, way out; weakness","구멍"
"grass; glue; spirit, heart; pool","풀"
"grass, lawn, turf","잔디"
"ice","얼음"
"snowman","눈사람"
"shadow, silhouette; reflection; trace; ominous feeling; reputation","그림자"
"shade, shadow; care, protection; influence","그늘"
"the heat","더위"
"warmth","온기"
"electronic","전자의"
"electricity, electric power; the former part of, early years; turning point; biography","전기"
"electricity supply, socket; countryside, rural areas; all members, everyone","전원"
"shock, impact; shock, jolt","충격"
"room (for), space, opening, place (for something); seat; mat","자리"
"space, room","공간"
"limit (artificial), restriction, constraint","제한"
"restriction (on), limitation (by way of adding conditions), constraint; manufacture of medicines","제약"
"share, portion; role; quotient","몫"
"part, section, portion (?groups); one man","일부"
"part, portion, section (?bigger)","부분"
"field, area, sphere (abstract)","분야"
"role, part","역할"
"dialect","사투리"
"one's way of talking, style of speech, accent","말투"
"discussion, debate","토론"
"story; talk, conversation","얘기"
"voice, tone of voice, voice (opinion or assertion)","목소리"
"voice; negative (sino)","음성"
"loud voice, shouting; bragging, big talk; complaint","큰소리"
"greetings","인사"
"social","사회적"
"sincerely, from one's heart","진심으로"
"joke (words)","농담"
"message","메시지"
"comment","댓글"
"comment, remark","코멘트"
"mention, reference (talking about a certain matter)","언급"
"memo, note, message","메모"
"the United States","미국"
"country, nation","나라"
"nation, country, state; national anthem","국가"
"nationality, citizenship","국적"
"foreign country","외국"
"foreign country, abroad, overseas","해외"
"being international, global","국제"
"the whole country, nationwide","전국"
"empire","제국"
"national flag","국기"
"flag; belief, claim","깃발"
"inside country, domestic","국내"
"map, chart; plan, guidance (on)","지도"
"local area, region, district, province; fat; countryside","지방"
"area, region, district, zone","지역"
"city","도시"
"hometown","고향"
"neighborhood, village","동네"
"neighbor, the neighborhood","이웃"
"town, village","마을"
"Folk village","민속촌"
"capital city; water supply (service), sewerage, faucet","수도"
"city hall; act of watching","시청"
"plaza, square","광장"
"the city, downtown, stream, brook","시내"
"trip, travel","여행"
"(travel) destination","여행지"
"for travel, travel","여행용"
"round trip, travel back and forth","왕복"
"traffic, transportation; communication, interaction; trade, international exchange","교통"
"public transportation","대중교통"
"traffic light, traffic signal","신호등"
"airport","공항"
"aviation, flight (travel)","항공"
"airplane, plane","비행기"
"airline ticket","항공권"
"first, first class (rank/grade that comes first before others)","일등"
"terminal","터미널"
"underground train","지하철"
"underpass, underground tunnel, subway","지하도"
"subway (train) (electric)","전철"
"train (like in train station)","기차"
"express train","급행열차"
"station (subway); part in a play ","역"
"train station","기차역"
"train tracks, railroad","선로"
"(bound noun) line (subway); arc, curve","호선"
"stop, station (bus etc.)","정류장"
"station, stop (bus), x station","정거장"
"driving","운전"
"street, road; way (as in someone's way?)","길"
"main road","큰길"
"road, street, highway, traffic lane; back (opposite direction one is going), revert; vain effort","도로"
"roadside","도로변"
"expressway, highway","고속도로"
"distance; street, road","거리"
"parking lot, parking garage","주차장"
"intersection, crossroads, street corner","사거리"
"exit","출구"
"taxi","택시"
"bus","버스"
"express bus","고속버스"
"the last train/bus","막차"
"go straight (to), going direct; nonstop, express","직행"
"driver, chauffeur","운전사"
"car","자동차"
"car; tea","차"
"one's own car, private/personal car","자가용"
"passenger car, sedan","승용차"
"passenger","승객"
"truck","트럭"
"motorcycle, scooter","오토바이"
"bicycle","자전거"
"hobby","취미"
"dance","춤"
"dancing","춤을 추"
"dance (formal); uselessness; military arts","무용"
"masked dance","탈춤"
"art (broad)","예술"
"piece of artwork (music, literature, etc); product","작품"
"fine art","미술"
"hiking, mountain climbing","등산"
"fishing, fishing gear; seduction","낚시"
"music","음악"
"musician","음악가"
"singer","가수"
"lyrics; housework, chores","가사"
"song","노래"
"tune, piece of music, song (sino)","곡"
"pop song, kpop","가요"
"classic (al music)","클래식"
"jazz","재즈"
"piano","피아노"
"musical instrument","악기"
"guitar; etc","기타"
"sports","스포츠"
"game","게임"
"competition, contest, rivalry","경쟁"
"competitor, rival company","경쟁사"
"challenge","도전"
"Olympics","올림픽"
"singing contest","노래자랑"
"winner","승자"
"team","팀"
"player, athlete, professional, master; lead (action before others)","선수"
"field, (sports) stadium (smaller); playground","운동장"
"sports stadium (bigger)","경기장"
"game, match, event; economy, business; convulsion","경기"
"play, game, entertainment","놀이"
"game, playing (for fun); joke, trick (behavior)","장난"
"swimming, bathing, swim","수영"
"basketball","농구"
"baseball","야구"
"football (soccer); idiot","축구"
"tennis","테니스"
"table tennis","탁구"
"volleyball","배구"
"golf","골프"
"bowling","볼링"
"badminton","배드민턴"
"skiing, skis","스키"
"skates, skating","스케이트"
"Taekwondo","태권도"
"boxing","권투"
"yut (game 4 sticks)","윶놀이"
"training, practice, discipline (receive some sort of training/military or physical training)","훈련"
"practice room","연습실"
"swimming pool","수영장"
"karaoke room","노래방"
"picnic, trip, outing","소풍"
"party (social gathering)","파티"
"farewell party","송별회"
"party, feast, banquet","잔치"
"housewarming party","집들이"
"(written) invitation","초대장"
"public performance, concert, show","공연"
"exhibition, show, display","전시회"
"awards ceremony","시상식"
"ceremony hall, wedding hall","예식장"
"graduation/commencement ceremony","졸업식"
"comedy","코미디"
"festival, carnival","축제"
"amusement park rides","놀이기구"
"amusement park","놀이공원"
"(sino) concert","음악회"
"concert","콘서트"
"opera","오페라"
"mass meeting, convention; contest, tournament, competition(where many people gather)","대회"
"race, run, sprint; Gyeongju","경주"
"marathon","마라톤"
"outside, out, exterior (can be abstract)","밖"
"outside, the open, exterior (can be descriptive)","바깥"
"outdoors, outside the room or house","실외"
"the outside, exterior (of something), surface","겉"
"the outside, the exterior (more common as a standalone noun rather than being associated directly with a verb)","외부"
"inside, within; not; proposal","안"
"inside; heart","속"
"indoors; inside the room, interior","실내"
"inner space of an object","내부"
"fun","재미"
"puzzle","퍼즐"
"ball, zero (sino); contribution, credit","공"
"excessive","과다"
"fatigue, tired, exhausted","피곤"
"exercise","운동"
"activity, movement; effort, campaign","활동"
"stress, strain","스트레스"
"pressure (general), strain","압력"
"worry, trouble, concern (inner)","고민"
"nerves; care, concern","신경"
"massage","마사지"
"injury, wound, cut, bruise; scar; losing one's wife","상처"
"injury, wound; prize; emergence, floating","부상"
"damage, harm (physical, reputation, property, money)","피해"
"pain, ache, suffering; sorrow, grief, distress; sick","아픔"
"pain, suffering, agony, torture (physical or mental)","고통"
"pain, ache (physical)","통증"
"fatigue, exhaustion, tired","피곤"
"force, strength, energy; authority, power, influence, effort","힘"
"violence, force","폭력"
"energy, power","에너지"
"energy, vitality, strength, force; atmosphere, air, feeling; effect, influence, touch","기운"
"effort","노력"
"anger; disaster, misfortune","화"
"fear, scared, dread, terror","겁"
"(abstract/not in the mind) fear, terror, fright, panic, horror; proclamation, make public, announcement","공포"
"excited","신나"
"diligently, passionately","열심히"
"exciting","신나는"
"movement, motion; working (properly)","동작"
"movement, motion, activity","움직임"
"movement, transfer, migration (one place to another)","이동"
"down, knockdown, be floored","다운"
"step, pace, walk; action, initiative","걸음"
"footstep, pace","발걸음"
"act, action, conduct (behavior with an intent)","행위"
"action","액션"
"posture, position, pose; attitude","자세"
"well","잘"
"love","사랑"
"date","데이트"
"womanizer, playboy","바람둥이"
"blind date","소개팅"
"marriage meeting, blind date (specifically for marriage)","맞선"
"single, unmarried","미혼"
"(behavior/act of) dating; (be in) love, romance, romantic relationship (with)","연애"
"charm, attractiveness, sex appeal","매력"
"affection, attachment, emotion; really, truly; chisel; tablet, pill; rifle","정"
"(personal) charm, childish cuteness (acting cute)","애교"
"unrequited love, (secret) crush, one-sided love","짝사랑"
"character, personality, nature","성격"
"ideal type","이상형"
"consciousness, mentality, mind, spirit; philosophy","정신"
"consciousness, being conscious of, aware, sense; ceremony, ritual","의식"
"soul, spirit","영혼"
"soul, spirit (less common/seems like mostly abstracts)","넋"
"(evil/bad) ghost, apparition, spirit; demon (at)","귀신"
"mind, heart, nature, personality","마음"
"one's mind, one's heart, inside one's heart, innermost thoughts","마음속"
"inside one's head, mind","머릿속"
"self, oneself, one, you; (slang) honey","자기"
"introduction","소개"
"self-introduction","자기소개"
"oneself; self-confidence; alone","자신"
"oneself, (for/by) oneself; of one's own accord (formal)","스스로"
"oneself, itself, being own","자체"
"alone","혼자"
"(written) alone, by oneself, single-handedly","홀로"
"private, personal; in person; historical site","사적"
"loyalty; justice, righteousness","의리"
"change, switch, transition (bigger macroscopic entities*country, enterprise, economy, political systems* / transition between male and female)","전환"
"nature; naturally","자연"
"natural (state)(unprocessed or cannot be changed by humans), naturalness; (can be used in comb. with other words)","천연"
"act, behavior (negative acts)","짓"
"behavior, action (moving your body to do an action/general behavior); conduct oneself, behave","행동"
"action, effect, act (as/on) (in a cause and effect sense), work (on), function","작용"
"surroundings, being around; being sociable, being a people person","주변"
"mood, feeling; atmosphere","기분"
"atmosphere, mood","분위기"
"air, atmosphere; atmosphere (mood); bowl","공기"
"gas","가스"
"attitude, manner; stance, position","태도"
"expression, express, show (one's feelings, thoughts)","표현"
"interest (in), concern (for), attention (interest is directed towards something pos/neg)","관심"
"interest, curiousity (have positive interest towards something)","흥미"
"feeling, sensation, sense, hunch, impression","느낌"
"feeling, emotion; grudge, animosity; appraisal, valuation, expert opinion","감정"
"sense, wit; reading (sensing) the atmosphere or people's faces","눈치"
"strange thing, special event, unusual occurrence, particular thing","별일"
"bad manners, rudeness; example, instance","실례"
"rumor, gossip","소문"
"secret","비밀"
"password, PIN, personal identification number","비밀번호"
"thought, idea","생각"
"idea","아이디어"
"imagination","상상력"
"confidence, trust, faith; belief (religious)","믿음"
"trust, credibility, confidence (in) (more official/business sounding but still any context)","신용"
"courage (the spirit of bravery), nerve, guts, spunk; container","용기"
"fighting spirit","투혼"
"religion, faith","종교"
"Buddhist temple; deep bow; clause, verse, paragraph","절"
"memory","기억"
"memory (recollection of past event)","추억"
"commemoration, memory, celebration","기념"
"honor, glory","영광"
"honor (recognized by the world as having good value), distinction, fame, reputation","명예"
"opinion, view, idea","의견"
"view, opinion, point of view (formal)","견해"
"opinion, claim, argument, assertion, contention; captain, leader","주장"
"thoughts (on), impression, opinion, feelings (positive only)","소감"
"position, stance, situation; admission","입장"
"point of view, perspective","관점"
"impression; look(s), features, appearance; raise, increase","인상"
"one's first impression","첫인상"
"good feeling, favorable impression","호감"
"luck, good fortune; blessing, happiness; blowfish","복"
"luck, fortune, fate; rhyme; the start of a conversation","운"
"good luck, good fortune, lucky break","행운"
"miracle, wonder; steam whistle","기적"
"fate, destiny","운명"
"adventure, risk","모험"
"danger, risk, hazardous","위험"
"chance, opportunity, time","기회"
"possibility, likelihood, probability, chance; potential","가능성"
"ability, capability, capacity (for), competence","능력"
"vision, future, prospect","비전"
"habit (smaller), habitual practice","습관"
"(Neg. conn.) habit; manners","버릇"
"habit (bigger), custom, convention","관습"
